date,value
2022-03-17,3885.32
2022-03-18,3902.44
2022-03-21,3881.8
2022-03-22,3926.12
2022-03-23,3869.22
2022-03-24,3863.39
2022-03-25,3867.73
2022-03-28,3887.1
2022-03-29,4002.18
2022-03-30,3959.14
2022-03-31,3902.52
2022-04-01,3918.68
2022-04-04,3951.12
2022-04-05,3917.85
2022-04-06,3824.69
2022-04-07,3802.01
2022-04-08,3858.37
2022-04-11,3839.62
2022-04-12,3831.47
2022-04-13,3827.96
2022-04-14,3848.68
2022-04-19,3830.76
2022-04-20,3896.81
2022-04-21,3928.03
2022-04-22,3840.01
2022-04-25,3757.59
2022-04-26,3721.36
2022-04-27,3734.64
2022-04-28,3777.02
2022-04-29,3802.86
2022-05-02,3732.44
2022-05-03,3761.19
2022-05-04,3724.99
2022-05-05,3696.63
2022-05-06,3629.17
2022-05-09,3526.86
2022-05-10,3554.8
2022-05-11,3647.87
2022-05-12,3613.43
2022-05-13,3703.42
2022-05-16,3685.34
2022-05-17,3741.51
2022-05-18,3690.74
2022-05-19,3640.55
2022-05-20,3657.03
2022-05-23,3708.39
2022-05-24,3647.56
2022-05-25,3677.1
2022-05-26,3740.31
2022-05-27,3808.86
2022-05-30,3841.62
2022-05-31,3789.21
2022-06-01,3759.54
2022-06-02,3795.13
2022-06-03,3783.66
2022-06-06,3838.42
2022-06-07,3806.74
2022-06-08,3788.93
2022-06-09,3724.45
2022-06-10,3599.2
2022-06-13,3502.5
2022-06-14,3475.18
2022-06-15,3532.32
2022-06-16,3427.91
2022-06-17,3438.46
2022-06-20,3469.83
2022-06-21,3494.0
2022-06-22,3464.64
2022-06-23,3436.29
2022-06-24,3533.17
2022-06-27,3538.88
2022-06-28,3549.29
2022-06-29,3514.32
2022-06-30,3454.86
2022-07-01,3448.31
2022-07-04,3452.42
2022-07-05,3359.83
2022-07-06,3421.84
2022-07-07,3488.5
2022-07-08,3506.55
2022-07-11,3471.69
2022-07-12,3487.05
2022-07-13,3453.97
2022-07-14,3396.61
2022-07-15,3477.2
2022-07-18,3511.86
2022-07-19,3587.44
2022-07-20,3585.24
2022-07-21,3596.51
2022-07-22,3596.49
2022-07-25,3604.16
2022-07-26,3575.36
2022-07-27,3607.78
2022-07-28,3652.2
2022-07-29,3708.1
2022-08-01,3706.62
2022-08-02,3684.63
2022-08-03,3732.54
2022-08-04,3754.6
2022-08-05,3725.39
2022-08-08,3757.22
2022-08-09,3715.37
2022-08-10,3749.35
2022-08-11,3757.05
2022-08-12,3776.81
2022-08-15,3789.62
2022-08-16,3805.22
2022-08-17,3756.06
2022-08-18,3777.38
2022-08-19,3730.32
2022-08-22,3658.22
2022-08-23,3652.52
2022-08-24,3655.46
2022-08-25,3674.54
2022-08-26,3603.68
2022-08-29,3570.51
2022-08-30,3561.92
2022-08-31,3517.25
2022-09-01,3456.7
2022-09-02,3544.38
2022-09-05,3490.01
2022-09-06,3500.14
2022-09-07,3502.09
2022-09-08,3512.38
2022-09-09,3570.04
2022-09-12,3617.83
2022-09-14,3567.56
2022-09-15,3541.79
2022-09-16,3500.41
2022-09-19,3499.49
2022-09-20,3467.09
2022-09-21,3491.87
2022-09-22,3427.14
